Phenotypic Series  - PS300755
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Immunodeficiency (Select Examples) - PS300755 - 117 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
11q23.3	Immunodeficiency 17, CD3 gamma deficient	AR	3	615607	CD3G, IMD17	186740
11q23.3	?Immunodeficiency 59 and hypoglycemia	AR	3	233600	HYOU1, IMD59	601746
12p13.31	Immunodeficiency 79	AR	3	619238	CD4, OKT4D, IMD79	186940
12q12	Immunodeficiency 67	AR	3	607676	IRAK4, REN64, IPD1, IMD67	606883
12q13.13-q13.2	Immunodeficiency 72 with autoinflammation	AR	3	618982	NCKAP1L, HEM1, IMD72	141180
12q13.3	Immunodeficiency 44	AR	3	616636	STAT2, IMD44, PTORCH3	600556
12q15	?Immunodeficiency 69, mycobacteriosis	AR	3	618963	IFNG, IFG, IFI, IMD69	147570
12q24.13	Immunodeficiency 100 with pulmonary alveolar proteinosis and hypogammaglobulinemia	AD	3	618042	OAS1, OIAS, IMD100	164350
12q24.31	Immunodeficiency 9	AR	3	612782	ORAI1, TMEM142A, CRACM1, IMD9, TAM2	610277
13q33.1	Immunodeficiency 78 with autoimmunity and developmental delay	AR	3	619220	TPP2, IMD78	190470
14q11.2	Immunodeficiency 7, TCR-alpha/beta deficient	AR	3	615387	TRAC, TRCA, TRA, IMD7	186880
14q12	Immunodeficiency 65, susceptibility to viral infections	AR	3	618648	IRF9, ISGF3, ISGF3G	147574
14q32.2	Immunodeficiency 49, severe combined	AD	3	617237	BCL11B, CTIP2, IMD49, IDDFSTA	606558
15q14	Immunodeficiency 64	AR	3	618534	RASGRP1, IMD64	603962
15q21.1	Immunodeficiency 43	AR	3	241600	B2M, IMD43	109700
15q21.2	Immunodeficiency 86, mycobacteriosis	AR	3	619549	SPPL2A, IMP3, IMD86	608238
16p12.1	Immunodeficiency 56	AR	3	615207	IL21R, IMD56	605383
16p11.2	Immunodeficiency 52	AR	3	617514	LAT, IMD52	602354
16p11.2	Immunodeficiency 8	AR	3	615401	CORO1A, TACO, CLIPINA, IMD8	605000
16q22.1	Immunodeficiency 58	AR	3	618131	CARMIL2, RLTPR, IMD58	610859
16q24.1	Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive	AR	3	226990	IRF8, ICSBP1, IMD32A, IMD32B	601565
16q24.1	Immunodeficiency 32A, mycobacteriosis, autosomal dominant	AD	3	614893	IRF8, ICSBP1, IMD32A, IMD32B	601565
17q11.2	?Immunodeficiency 13	AD	3	615518	UNC119, HRG4, IMD13	604011
17q12-q21.1	?Immunodeficiency 84	AD	3	619437	IKZF3, ZNFN1A3, AIOLOS, IMD84	606221
17q21.32	?Immunodeficiency 88	AR	3	619630	TBX21, TBET, IMD88	604895
18q21.32	Immunodeficiency 12	AR	3	615468	MALT1, MLT, IMD12	604860
19p13.2	Immunodeficiency 35	AR	3	611521	TYK2, IMD35	176941
19p13.11	Immunodeficiency 76	AR	3	619164	FCHO1, IMD76	613437
19p13.11	Immunodeficiency 30	AR	3	614891	IL12RB1, IMD30	601604
19q13.2	?Immunodeficiency 62	AR	3	618459	ARHGEF1, LBCL2, IMD62	601855
19q13.32	?Immunodeficiency 53	AR	3	617585	RELB, IREL, IMD53	604758
19q13.33	Immunodeficiency 96	AR	3	619774	LIG1, IMD96	126391
20p11.23	?Immunodeficiency 101 (varicella zoster virus-specific)	AD	3	619872	POLR3F, RPC39, RPC6, IMD101	617455
20p11.21	Immunodeficiency 55	AR	3	617827	GINS1, PSF1, KIAA0186, IMD55	610608
20q11.23	?Immunodeficiency 99 with hypogammaglobulinemia and autoimmune cytopenias	AR	3	619846	CTNNBL1, NAP, IMD99	611537
20q13.13	Immunodeficiency 91 and hyperinflammation	AR	3	619644	ZNFX1, IMD91	618931
21q22.11	Immunodeficiency 45	AR	3	616669	IFNAR2, IMD45	602376
21q22.11	Immunodeficiency 106, susceptibility to viral infections	AR	3	619935	IFNAR1, IMD106	107450
21q22.11	Immunodeficiency 28, mycobacteriosis	AR	3	614889	IFNGR2, IFNGT1, IFGR2, IMD28	147569
22q11.1	Immunodeficiency 51	AR	3	613953	IL17RA, IL17R, IMD51	605461
22q12.3	?Immunodeficiency 85 and autoimmunity	AD	3	619510	TOM1, IMD85	604700
22q12.3	Immunodeficiency 63 with lymphoproliferation and autoimmunity	AR	3	618495	IL2RB, IMD63	146710
22q13.1	Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia	AD	3	618986	RAC2, IMD73A, IMD73B, IMD73C	602049
22q13.1	Immunodeficiency 73A with defective neutrophil chemotaxix and leukocytosis	AD	3	608203	RAC2, IMD73A, IMD73B, IMD73C	602049
22q13.1	?Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia	AR	3	618987	RAC2, IMD73A, IMD73B, IMD73C	602049
22q13.1	?Immunodeficiency 89 and autoimmunity	AR	3	619632	CARD10, CARMA3, BIMP1, IMD89	607209
22q13.1-q13.2	?Immunodeficiency 66	AR	3	618847	MKL1, AMKL, MAL	606078
Xp22.2	Immunodeficiency 74, COVID19-related, X-linked	XLR	3	301051	TLR7, IMD74, SLEB17	300365
Xp22.2	Immunodeficiency 98 with autoinflammation, X-linked	SMo, XL	3	301078	TLR8, IMD98	300366
Xp22.12	?Immunodeficiency 61	XLR	3	300310	SH3KBP1, CIN85, IMD61, AGMX2	300374
Xp21.1-p11.4	Immunodeficiency 34, mycobacteriosis, X-linked	XLR	3	300645	CYBB, CGDX, AMCBX2, IMD34	300481
Xp11.23	Wiskott-Aldrich syndrome	XLR	3	301000	WAS, IMD2, THC1, SCNX	300392
Xq12	Immunodeficiency 50	XLR	3	300988	MSN, IMD50	309845
Xq13.1	Combined immunodeficiency, X-linked, moderate	XLR	3	312863	IL2RG, SCIDX1, SCIDX, IMD4	308380
Xq13.1	Severe combined immunodeficiency, X-linked	XLR	3	300400	IL2RG, SCIDX1, SCIDX, IMD4	308380
Xq22.1	Agammaglobulinemia, X-linked 1	XLR	3	300755	BTK, AGMX1, IMD1, XLA, AT, IGHD3	300300
Xq25	Lymphoproliferative syndrome, X-linked, 1	XLR	3	308240	SH2D1A, LYP, IMD5, XLP, XLPD1	300490
Xq26.1	Immunodeficiency 102	XLR	3	301082	SASH3, HACS2, CXorf9, SLY, IMD102	300441
Xq26.3	Immunodeficiency, X-linked, with hyper-IgM	XLR	3	308230	TNFSF5, CD40LG, HIGM1, IGM	300386
Xq28	Immunodeficiency 47	XLR	3	300972	ATP6AP1, ATP6IP1, ATP6S1, VATPS1	300197
Xq28	Immunodeficiency 33	XLR	3	300636	IKBKG, NEMO, FIP3, IP, EDAID1, IMD33, SAIDX	300248




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



