Phenotypic Series  - PS249500
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Intellectual developmental disorder, autosomal recessive - PS249500 - 65 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
19p13.12	Intellectual developmental disorder, autosomal recessive 3	AR	3	608443	CC2D1A, MRT3	610055
19p13.12	Intellectual developmental disorder, autosomal recessive 14	AR	3	614020	TECR, GPSN2, TER, SC2, MRT14	610057
19q13.2-q13.3	Intellectual developmental disorder, autosomal recessive 11	AR	2	611097	MRT11	611097
19q13.32	Intellectual developmental disorder, autosomal recessive 41	AR	3	615637	KPTN, 2E4, MRT41	615620
19q13.42	Intellectual developmental disorder, autosomal recessive 57	AR	3	617188	MBOAT7, BB1, LENG4, MRT57	606048
20p11.23	Intellectual developmental disorder, autosomal recessive 73	AR	3	619717	NAA20, NAT5, NAT3, MRT73	610833




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



